fonte,estacao_codigo,data,variavel,valor,unidade
MonitorDeSecas-ANA,RS,2023-03-01,seca_s2s4,55.26,pct_area
MonitorDeSecas-ANA,RS,2023-03-01,seca_s3s4,21.43,pct_area
MonitorDeSecas-ANA,RS,2023-03-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-02-01,seca_semSeca,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-02-01,seca_s0s4,100.0,pct_area
MonitorDeSecas-ANA,RS,2023-02-01,seca_s1s4,93.73,pct_area
MonitorDeSecas-ANA,RS,2023-02-01,seca_s2s4,55.26,pct_area
MonitorDeSecas-ANA,RS,2023-02-01,seca_s3s4,21.43,pct_area
MonitorDeSecas-ANA,RS,2023-02-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-01-01,seca_semSeca,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-01-01,seca_s0s4,100.0,pct_area
MonitorDeSecas-ANA,RS,2023-01-01,seca_s1s4,90.09,pct_area
MonitorDeSecas-ANA,RS,2023-01-01,seca_s2s4,41.91,pct_area
MonitorDeSecas-ANA,RS,2023-01-01,seca_s3s4,21.43,pct_area
MonitorDeSecas-ANA,RS,2023-01-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-12-01,seca_semSeca,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-12-01,seca_s0s4,100.0,pct_area
MonitorDeSecas-ANA,RS,2022-12-01,seca_s1s4,49.65,pct_area
MonitorDeSecas-ANA,RS,2022-12-01,seca_s2s4,29.91,pct_area
MonitorDeSecas-ANA,RS,2022-12-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-12-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-11-01,seca_semSeca,6.049999999999997,pct_area
MonitorDeSecas-ANA,RS,2022-11-01,seca_s0s4,93.95,pct_area
MonitorDeSecas-ANA,RS,2022-11-01,seca_s1s4,29.32,pct_area
MonitorDeSecas-ANA,RS,2022-11-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-11-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-11-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-10-01,seca_semSeca,34.91,pct_area
MonitorDeSecas-ANA,RS,2022-10-01,seca_s0s4,65.09,pct_area
MonitorDeSecas-ANA,RS,2022-10-01,seca_s1s4,29.33,pct_area
MonitorDeSecas-ANA,RS,2022-10-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-10-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-10-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-09-01,seca_semSeca,50.28,pct_area
MonitorDeSecas-ANA,RS,2022-09-01,seca_s0s4,49.72,pct_area
MonitorDeSecas-ANA,RS,2022-09-01,seca_s1s4,29.29,pct_area
MonitorDeSecas-ANA,RS,2022-09-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-09-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-09-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-08-01,seca_semSeca,50.28,pct_area
MonitorDeSecas-ANA,RS,2022-08-01,seca_s0s4,49.72,pct_area
MonitorDeSecas-ANA,RS,2022-08-01,seca_s1s4,29.29,pct_area
MonitorDeSecas-ANA,RS,2022-08-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-08-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-08-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-07-01,seca_semSeca,50.28,pct_area
MonitorDeSecas-ANA,RS,2022-07-01,seca_s0s4,49.72,pct_area
MonitorDeSecas-ANA,RS,2022-07-01,seca_s1s4,34.45,pct_area
MonitorDeSecas-ANA,RS,2022-07-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-07-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-07-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-06-01,seca_semSeca,35.120000000000005,pct_area
MonitorDeSecas-ANA,RS,2022-06-01,seca_s0s4,64.88,pct_area
MonitorDeSecas-ANA,RS,2022-06-01,seca_s1s4,39.99,pct_area
MonitorDeSecas-ANA,RS,2022-06-01,seca_s2s4,5.18,pct_area
MonitorDeSecas-ANA,RS,2022-06-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-06-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-05-01,seca_semSeca,12.769999999999996,pct_area
MonitorDeSecas-ANA,RS,2022-05-01,seca_s0s4,87.23,pct_area
MonitorDeSecas-ANA,RS,2022-05-01,seca_s1s4,60.9,pct_area
MonitorDeSecas-ANA,RS,2022-05-01,seca_s2s4,23.2,pct_area
MonitorDeSecas-ANA,RS,2022-05-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-05-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-04-01,seca_semSeca,12.010000000000005,pct_area
MonitorDeSecas-ANA,RS,2022-04-01,seca_s0s4,87.99,pct_area
MonitorDeSecas-ANA,RS,2022-04-01,seca_s1s4,70.72,pct_area
MonitorDeSecas-ANA,RS,2022-04-01,seca_s2s4,44.68,pct_area
MonitorDeSecas-ANA,RS,2022-04-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-04-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-03-01,seca_semSeca,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-03-01,seca_s0s4,100.0,pct_area
MonitorDeSecas-ANA,RS,2022-03-01,seca_s1s4,87.47,pct_area
MonitorDeSecas-ANA,RS,2022-03-01,seca_s2s4,68.04,pct_area
MonitorDeSecas-ANA,RS,2022-03-01,seca_s3s4,27.95,pct_area
MonitorDeSecas-ANA,RS,2022-03-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-02-01,seca_semSeca,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-02-01,seca_s0s4,100.0,pct_area
MonitorDeSecas-ANA,RS,2022-02-01,seca_s1s4,87.45,pct_area
MonitorDeSecas-ANA,RS,2022-02-01,seca_s2s4,68.04,pct_area
MonitorDeSecas-ANA,RS,2022-02-01,seca_s3s4,27.94,pct_area
MonitorDeSecas-ANA,RS,2022-02-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-01-01,seca_semSeca,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-01-01,seca_s0s4,100.0,pct_area
MonitorDeSecas-ANA,RS,2022-01-01,seca_s1s4,84.02,pct_area
MonitorDeSecas-ANA,RS,2022-01-01,seca_s2s4,67.35,pct_area
MonitorDeSecas-ANA,RS,2022-01-01,seca_s3s4,9.91,pct_area
MonitorDeSecas-ANA,RS,2022-01-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2021-12-01,seca_semSeca,0.0,pct_area
MonitorDeSecas-ANA,RS,2021-12-01,seca_s0s4,100.0,pct_area
MonitorDeSecas-ANA,RS,2021-12-01,seca_s1s4,83.44,pct_area
MonitorDeSecas-ANA,RS,2021-12-01,seca_s2s4,29.08,pct_area
MonitorDeSecas-ANA,RS,2021-12-01,seca_s3s4,0.89,pct_area
MonitorDeSecas-ANA,RS,2021-12-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2021-11-01,seca_semSeca,0.0,pct_area
MonitorDeSecas-ANA,RS,2021-11-01,seca_s0s4,100.0,pct_area
MonitorDeSecas-ANA,RS,2021-11-01,seca_s1s4,51.16,pct_area
MonitorDeSecas-ANA,RS,2021-11-01,seca_s2s4,8.07,pct_area
MonitorDeSecas-ANA,RS,2021-11-01,seca_s3s4,0.62,pct_area
MonitorDeSecas-ANA,RS,2021-11-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2021-10-01,seca_semSeca,0.0,pct_area
MonitorDeSecas-ANA,RS,2021-10-01,seca_s0s4,100.0,pct_area
MonitorDeSecas-ANA,RS,2021-10-01,seca_s1s4,45.74,pct_area
MonitorDeSecas-ANA,RS,2021-10-01,seca_s2s4,8.06,pct_area
MonitorDeSecas-ANA,RS,2021-10-01,seca_s3s4,0.62,pct_area
MonitorDeSecas-ANA,RS,2021-10-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2021-09-01,seca_semSeca,0.0,pct_area
MonitorDeSecas-ANA,RS,2021-09-01,seca_s0s4,100.0,pct_area
MonitorDeSecas-ANA,RS,2021-09-01,seca_s1s4,45.75,pct_area
MonitorDeSecas-ANA,RS,2021-09-01,seca_s2s4,8.55,pct_area
MonitorDeSecas-ANA,RS,2021-09-01,seca_s3s4,2.04,pct_area
